"Asset","Used","Context","SizeKB"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\router-prompt.txt","False","UNUSED","1,99"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","True","FRONTEND","0,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","True","FRONTEND","0,43"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","True","FRONTEND","0,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","True","FRONTEND","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","True","FRONTEND","1,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\fonts\Poppins\OFL.txt","True","FRONTEND","4,37"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\african-pattern.svg","True","FRONTEND","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\logo-unimentor.svg","True","FRONTEND","1,47"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\seal-gold.svg","True","FRONTEND","1,94"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\watermark.svg","True","FRONTEND","1,32"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\legal\unimentorai_legal_foundation_pack.md","False","UNUSED","9,67"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\scripts\v6_master_log.txt","False","UNUSED","0,14"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\stabilize_report_20260522_203508.txt","False","UNUSED","0,72"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\african-pattern.png","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\logo-unimentor.png","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\seal-gold.png","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\watermark-logo.png","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\watermark.png","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\v2-report.txt","False","UNUSED","8,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\african-pattern.svg","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\logo-unimentor.svg","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\seal-gold.svg","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\watermark.svg","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\fr\CONTRIBUTING.md","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\fr\README.md","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\fr\SECURITY.md","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\CODE_OF_CONDUCT.md","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\CONTRIBUTING.md","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\README.md","False","UNUSED","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\en\SECURITY.md","True","FRONTEND","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\ARCHITECTURE_CONFORMITE.md","False","UNUSED","6,54"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\ARCHITECTURE.md","True","FRONTEND","5,58"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\ASSETS_OPTIMISATION.md","False","UNUSED","2,02"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\AUTH_ROLE_MANAGEMENT.md","False","UNUSED","1,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\CARTOGRAPHIE_DONNEES.md","False","UNUSED","2,88"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\certificats_admin_guide_en.md","False","UNUSED","4,84"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\certificats_admin_guide.md","False","UNUSED","5,35"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\CGU.md","True","FRONTEND","3,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\commercial_pitch_template.pptx.md","False","UNUSED","2,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\DISCLAIMER_IA.md","False","UNUSED","2,09"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\formation_guide_en.md","False","UNUSED","1,96"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\formation_guide.md","False","UNUSED","2,42"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\LEGACY.md","True","FRONTEND","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MANUEL_INSTITUTIONNEL.md","False","UNUSED","3,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\MENTIONS_LEGALES.md","False","UNUSED","0,97"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_CONFIDENTIALITE.md","False","UNUSED","3,15"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\POLITIQUE_SECURITE.md","False","UNUSED","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide_en.md","False","UNUSED","2,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\pricing_integration_guide.md","False","UNUSED","2,86"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist_en.md","False","UNUSED","1,35"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\publication_checklist.md","False","UNUSED","1,52"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_MANAGER_MIGRATION.md","False","UNUSED","2,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECRET_ROTATION_RUNBOOK.md","False","UNUSED","7,25"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\SECURITY_ROTATION.md","False","UNUSED","2,31"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\docs\STARTUP_YC_ARCHITECTURE.md","False","UNUSED","4,49"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\favicon.svg","True","FRONTEND","1,06"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-128.svg","False","UNUSED","1,62"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-256.svg","False","UNUSED","2,39"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\icon-512.svg","True","FRONTEND","2,03"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-dark.svg","False","UNUSED","1,48"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\frontend\assets\brand\logo-light.svg","False","UNUSED","1,48"
