"Asset","Status","Score","SizeKB","Reason"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\router-prompt.txt","SAFE_DELETE","0","1,99","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","USED","60","0,53","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","USED","60","0,43","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","USED","60","0,7","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","USED","60","1,01","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","USED","60","1,41","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\fonts\Poppins\OFL.txt","USED","60","4,37","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\african-pattern.svg","CRITICAL","90","1,01","Used in critical system"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\logo-unimentor.svg","PROTECTED","100","1,47","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\seal-gold.svg","PROTECTED","100","1,94","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\watermark.svg","PROTECTED","100","1,32","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\legal\unimentorai_legal_foundation_pack.md","PROTECTED","100","9,67","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\scripts\v6_master_log.txt","SAFE_DELETE","0","0,14","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\stabilize_report_20260522_203508.txt","SAFE_DELETE","0","0,72","No reference found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\african-pattern.png","USED","60","0","Referenced in code"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\logo-unimentor.png","PROTECTED","100","0","Brand/Core Asset"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\seal-gold.png","PROTECTED","100","0","Brand/Core Asset"
