"Asset","Status","RiskScore","Impact","SizeKB"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\router-prompt.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","1,99"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-hdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,53"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-mdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,43"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","0,7"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\android\app\src\main\res\mipmap-xxxhdpi\ic_launcher.png","USED","40","KEEP - USED IN CODE","1,41"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\fonts\Poppins\OFL.txt","USED","40","KEEP - USED IN CODE","4,37"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\african-pattern.svg","USED","40","KEEP - USED IN CODE","1,01"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\logo-unimentor.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,47"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\seal-gold.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,94"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\assets\generated\watermark.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","1,32"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\legal\unimentorai_legal_foundation_pack.md","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","9,67"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\scripts\v6_master_log.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","0,14"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\backend\stabilize_report_20260522_203508.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","0,72"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\african-pattern.png","USED","40","KEEP - USED IN CODE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\logo-unimentor.png","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\seal-gold.png","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\watermark-logo.png","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\quarantine\watermark.png","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\control-tower-v2\v2-report.txt","SIMULATED_DELETE","90","SAFE TO DELETE (SIMULATION ONLY)","8,17"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\african-pattern.svg","USED","40","KEEP - USED IN CODE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\logo-unimentor.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\seal-gold.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\deprecated_architecture_20260522_174052\backend_legacy\assets\generated\watermark.svg","PROTECTED","100","CRITICAL - BRAND / CERTIFICATE","0"
