"File","Issue","Detail"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\node_modules\@babel\types\lib\modifications\flow\removeTypeDuplicates.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\node_modules\@babel\types\lib\modifications\typescript\removeTypeDuplicates.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\backend\src\bootstrap\module.registry.v5.ai.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\backend\src\bootstrap\module.registry.v4.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\_archive_boot_safe\backend\src\bootstrap\module.registry.v3.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\backend\src\bootstrap\module.registry.v2.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_archive_boot_safe\_archive_boot_safe\src\bootstrap\module.registry.v2.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_enterprise_archive\App.js","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\_enterprise_archive\App.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\admin-frontend\archive\dashboard\RealtimeAdminDashboard.screen.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\admin-frontend\src\hooks\useRealtimeAnalytics.js","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\admin-frontend\src\hooks\useRealtimeAnalytics.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\admin-frontend\src\screens\Dashboard\AdminDashboard.screen.js","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\admin-frontend\src\screens\Dashboard\RealtimeAdminDashboard.screen.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai\ai.metrics.service.js","HARDCODED PORT","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai\mentor.gateway.js","DANGEROUS REQUIRE","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\engine\auto-fix-engine.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\engine\executor.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\run\run-autofix.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\auto-fix-engine.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\project-scanner.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\ai-os\test-scan.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\archive_old_layers\ai\adaptive\core\tutor.loop.engine.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\archive_old_layers\ai\mentor\services\mentor.service.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\archive_old_layers\services\courses\course_engine.js","CONSOLE LOG","Match found"
"C:\Users\DJOTOHOU\UNIMENTORAI\unimentorai\archive_old_layers\services\payment\kkiapay_service.js","CONSOLE LOG","Match found"
